Price,Close,High,Low,Open,Volume
Ticker,ADBE,ADBE,ADBE,ADBE,ADBE
Date,,,,,
2021-07-07,605.77,607.67,597.4,600.0,2022500
2021-07-08,605.95,607.3,593.33,595.64,1846600
2021-07-09,604.5,605.95,597.44,601.43,2145200
2021-07-12,600.2,607.42,596.48,606.0,1696200
2021-07-13,605.01,609.33,598.42,600.56,1435600
2021-07-14,608.83,611.3,604.01,608.14,1376900
2021-07-15,606.17,609.95,602.65,608.4,1618100
2021-07-16,606.1,611.62,603.66,608.71,1249700
2021-07-19,602.05,610.69,598.14,602.75,2046600
2021-07-20,608.72,612.75,598.48,605.39,1675700
2021-07-21,612.26,612.58,603.32,605.72,1381000
2021-07-22,623.68,623.95,614.58,614.58,1477900
2021-07-23,625.87,631.64,622.0,625.76,2030400
2021-07-26,620.8,625.87,619.73,624.18,1389800
2021-07-27,618.28,623.92,610.64,621.0,1540300
2021-07-28,620.92,626.0,617.57,620.99,1468100
2021-07-29,621.7,625.67,617.04,617.04,1068900
2021-07-30,621.63,622.8,617.29,619.03,1403400
2021-08-02,618.75,627.6,612.93,625.87,1466800
2021-08-03,621.28,624.7,614.0,620.23,1067300
2021-08-04,625.68,627.08,617.62,622.47,1306800
2021-08-05,632.08,632.47,623.0,626.99,1158200
2021-08-06,631.38,631.84,625.17,629.27,1127700
2021-08-09,629.22,634.98,626.92,634.98,1118900
2021-08-10,621.74,633.3,620.6,630.48,1540100
2021-08-11,626.03,627.42,621.65,623.76,1328300
2021-08-12,634.35,636.64,624.04,626.0,1163100
2021-08-13,637.31,638.43,632.35,634.49,932800
2021-08-16,636.94,638.02,628.19,637.03,1105500
2021-08-17,635.01,637.0,630.22,636.55,1346300
2021-08-18,626.77,637.14,626.05,632.8,1386500
2021-08-19,637.66,642.55,623.63,624.88,1693700
2021-08-20,647.34,652.0,634.53,639.84,1434000
2021-08-23,656.86,658.5,645.52,645.87,1652400
2021-08-24,657.24,660.0,653.4,659.14,866400
2021-08-25,656.8,661.06,651.64,658.61,1047900
2021-08-26,652.39,657.91,649.35,653.59,1619200
2021-08-27,658.52,662.61,651.86,652.52,1142300
2021-08-30,665.99,667.67,659.78,659.78,1341500
2021-08-31,663.7,667.9,660.46,667.9,1877800
2021-09-01,665.89,668.96,662.0,664.51,1261200
2021-09-02,664.64,669.85,661.67,669.82,1402400
2021-09-03,666.59,673.88,664.3,664.43,1640300
2021-09-07,661.39,668.87,656.55,667.35,1382300
2021-09-08,663.22,664.08,657.1,660.15,1367700
2021-09-09,661.68,667.46,659.93,664.84,1110200
2021-09-10,658.94,668.87,658.2,666.18,1204200
2021-09-13,645.15,663.6,640.24,663.04,2242500
2021-09-14,645.01,649.58,642.46,646.0,2150200
2021-09-15,661.08,663.31,650.98,652.32,2009300
2021-09-16,665.11,666.47,654.71,657.53,2046100
2021-09-17,654.48,665.0,652.04,663.21,3553200
2021-09-20,641.29,653.93,633.05,646.04,2637400
2021-09-21,645.89,650.95,640.3,646.88,2449300
2021-09-22,626.08,628.94,615.06,624.79,5689600
2021-09-23,630.84,633.82,627.02,632.29,2985500
2021-09-24,622.71,629.03,618.22,628.0,2809000
2021-09-27,603.65,616.66,602.73,615.8,4152200
2021-09-28,578.77,596.31,578.33,596.31,5108900
2021-09-29,577.7,586.55,576.07,585.45,2726800
2021-09-30,575.72,586.19,573.24,580.64,2743600
2021-10-01,577.47,581.47,568.61,577.52,2915300
2021-10-04,558.49,576.8,552.14,574.59,3977000
2021-10-05,566.7,570.29,559.21,563.91,2337800
2021-10-06,570.31,572.16,560.21,561.24,2043200
2021-10-07,578.96,586.15,576.19,578.46,2648500
2021-10-08,576.86,583.61,575.52,581.3,2050700
2021-10-11,573.07,582.28,571.5,574.5,1410600
2021-10-12,580.69,584.22,574.42,579.16,1740200
2021-10-13,591.12,593.54,582.66,585.26,2142300
2021-10-14,607.51,609.44,596.97,600.0,2500900
2021-10-15,610.09,612.25,607.55,611.69,1960100
2021-10-18,622.83,623.47,607.57,610.65,1905100
2021-10-19,636.07,639.39,625.26,625.26,2470000
2021-10-20,632.37,641.29,630.17,639.28,1497200
2021-10-21,638.66,639.17,629.0,632.0,1586600
2021-10-22,643.58,644.43,634.45,640.43,1786500
2021-10-25,646.97,649.62,639.07,644.47,1629400
2021-10-26,642.5,659.19,642.1,650.91,2154000
2021-10-27,640.08,648.81,639.81,644.48,1629900
2021-10-28,639.28,642.49,633.27,638.0,2085000
2021-10-29,650.36,651.31,637.0,637.77,1927700
2021-11-01,640.2,654.0,634.78,651.05,2215800
2021-11-02,640.4,647.74,639.23,641.12,1770000
2021-11-03,655.18,656.5,640.0,645.52,1970700
2021-11-04,674.08,676.08,657.75,659.44,2480600
2021-11-05,662.72,677.76,661.11,676.74,2517600
2021-11-08,666.02,668.25,661.4,666.56,1497200
2021-11-09,667.92,669.66,663.0,667.69,1128000
2021-11-10,647.5,665.81,645.86,663.2,2038200
2021-11-11,643.17,652.57,642.1,649.61,1271100
2021-11-12,657.6,658.47,647.16,649.01,1286500
2021-11-15,659.73,663.67,655.19,658.37,1077600
2021-11-16,671.03,673.74,658.99,659.14,1422000
2021-11-17,670.67,672.74,662.84,671.76,1221900
2021-11-18,670.96,676.55,665.08,670.62,1493800
2021-11-19,688.37,699.5,678.91,681.26,3090900
2021-11-22,673.57,699.54,672.66,696.28,2284700
2021-11-23,665.16,667.57,648.61,662.7,2502800
2021-11-24,668.32,668.87,647.14,655.83,2426800
2021-11-26,662.1,684.0,659.68,670.25,2204000
2021-11-29,687.49,691.36,665.77,668.0,2728800
2021-11-30,669.85,694.89,667.83,687.22,4703600
2021-12-01,657.41,678.78,656.28,676.0,2831800
2021-12-02,671.88,674.85,653.62,655.95,2675400
2021-12-03,616.53,662.09,604.3,658.1,6741800
2021-12-06,622.04,625.9,605.73,617.47,3170000
2021-12-07,649.96,655.22,640.05,644.19,3943500
2021-12-08,653.1,654.65,641.61,647.3,2416200
2021-12-09,632.57,655.72,630.88,650.92,2550700
2021-12-10,654.45,654.97,635.1,638.13,2873000
2021-12-13,658.3,675.21,650.98,652.77,3829400
2021-12-14,614.86,636.0,599.1,635.36,5934200
2021-12-15,630.33,631.25,604.62,615.96,4288800
2021-12-16,566.09,591.58,556.15,578.4,10961200
2021-12-17,556.64,566.99,545.14,566.09,7999200
2021-12-20,549.77,557.27,543.5,545.61,3441100
2021-12-21,557.52,559.89,538.05,550.91,4104700
2021-12-22,563.98,564.92,552.24,560.3,4526200
2021-12-23,569.62,572.57,566.16,568.96,2147700
2021-12-27,577.68,580.88,572.09,575.04,1980100
2021-12-28,569.36,582.88,568.35,582.84,2107800
2021-12-29,569.29,576.96,562.78,573.33,2484200
2021-12-30,570.53,578.99,566.04,570.57,1564600
2021-12-31,567.06,570.17,565.07,570.0,1581400
2022-01-03,564.37,575.0,553.27,566.65,2862700
2022-01-04,554.0,564.3,541.31,563.9,4344800
2022-01-05,514.43,538.75,514.0,535.0,7394800
2022-01-06,514.12,526.31,508.2,510.0,3913600
2022-01-07,510.7,520.42,504.0,513.66,3605400
2022-01-10,525.83,526.58,497.01,500.0,5429700
2022-01-11,529.89,535.18,520.98,525.55,3422200
2022-01-12,532.37,541.59,529.28,533.09,2901800
2022-01-13,516.9,535.27,516.32,532.22,3406500
2022-01-14,520.6,522.57,511.27,514.49,2659800
2022-01-18,513.34,519.39,504.98,510.39,3461000
2022-01-19,516.58,528.92,515.3,516.48,2985900
2022-01-20,510.85,532.03,509.64,522.38,3208100
2022-01-21,499.91,513.86,499.27,508.5,4276100
2022-01-24,519.66,520.43,483.31,491.07,7538000
2022-01-25,502.72,514.26,500.01,505.51,4051500
2022-01-26,500.81,520.49,494.22,514.0,4449500
2022-01-27,493.05,513.23,485.62,508.94,5865400
2022-01-28,518.16,519.0,480.62,494.09,4339000
2022-01-31,534.3,534.94,514.39,518.98,3995100
2022-02-01,535.98,538.77,527.72,536.0,2307400
2022-02-02,533.09,540.46,529.32,536.25,2494100
2022-02-03,510.83,525.18,508.75,522.87,3058700
2022-02-04,513.54,519.97,503.77,503.77,2583700
2022-02-07,507.1,516.0,500.95,516.0,3120500
2022-02-08,511.31,513.51,501.07,501.63,3205500
2022-02-09,521.75,522.48,515.06,520.35,2542200
2022-02-10,495.02,514.48,492.28,508.08,4735800
2022-02-11,473.97,499.93,472.9,497.92,5027000
2022-02-14,474.01,478.57,469.21,473.2,3372100
2022-02-15,479.5,482.53,472.39,482.53,3743100
2022-02-16,477.7,480.21,467.27,476.49,3750500
2022-02-17,457.71,476.45,456.05,473.14,4021100
2022-02-18,442.56,459.3,441.77,458.69,5194200
2022-02-22,438.4,451.09,435.05,440.35,4287600
2022-02-23,429.45,449.59,428.06,447.78,4263000
2022-02-24,463.82,465.93,416.81,418.59,6448800
2022-02-25,465.54,468.52,456.02,465.39,2869700
2022-02-28,467.68,468.48,458.86,462.4,3302300
2022-03-01,466.68,479.21,462.92,468.0,3352800
2022-03-02,471.18,477.49,466.04,471.94,2948500
2022-03-03,459.08,476.05,455.45,475.83,2906300
2022-03-04,452.13,463.52,447.0,455.49,2751600
2022-03-07,437.97,457.68,437.18,456.22,3676100
2022-03-08,431.53,443.8,421.36,432.51,3734800
2022-03-09,450.87,453.11,438.93,443.8,2905700
2022-03-10,438.95,447.65,433.01,444.68,2722300
2022-03-11,416.38,440.61,415.43,439.66,4434500
2022-03-14,411.5,422.38,407.94,413.36,3731400
2022-03-15,421.66,422.96,413.17,415.97,3201700
2022-03-16,442.36,442.52,424.35,431.74,4141200
2022-03-17,444.36,446.82,436.51,441.26,3556700
2022-03-18,453.33,453.74,435.79,439.2,5898100
2022-03-21,453.59,459.58,445.95,451.42,3704200
2022-03-22,466.45,471.98,450.69,453.5,5377000
