Price,Close,High,Low,Open,Volume
Ticker,AMD,AMD,AMD,AMD,AMD
Date,,,,,
2021-07-07,90.54,95.44,90.31,95.02,51498500
2021-07-08,89.74,90.34,87.45,87.86,45673500
2021-07-09,90.9,91.26,88.53,90.04,35278400
2021-07-12,90.81,91.9,89.65,91.22,28526600
2021-07-13,90.26,91.41,89.83,90.48,30367600
2021-07-14,89.05,91.4,88.94,90.76,28108500
2021-07-15,86.93,89.78,86.18,89.78,38944700
2021-07-16,85.89,88.03,85.68,87.32,35860700
2021-07-19,86.58,87.23,84.24,84.99,39244800
2021-07-20,87.11,87.77,85.17,87.09,28089000
2021-07-21,89.41,89.49,86.9,87.25,29469900
2021-07-22,91.21,91.36,89.08,89.4,33730100
2021-07-23,92.15,92.37,90.19,91.35,31708900
2021-07-26,91.82,92.75,91.12,92.01,27668500
2021-07-27,91.03,94.1,89.1,92.94,69427000
2021-07-28,97.93,98.71,89.65,93.44,140561000
2021-07-29,102.95,105.74,96.58,96.58,164091800
2021-07-30,106.19,106.97,101.38,101.6,125632000
2021-08-02,108.63,110.33,103.83,105.93,115581900
2021-08-03,112.56,114.85,107.66,108.15,157723100
2021-08-04,118.77,122.49,114.16,114.36,225368700
2021-08-05,112.35,117.68,111.59,116.63,137860900
2021-08-06,110.11,116.26,109.7,110.55,143899000
2021-08-09,107.58,112.33,107.06,111.31,115749900
2021-08-10,106.48,109.17,104.36,107.9,113012300
2021-08-11,107.68,109.79,105.62,107.6,91788300
2021-08-12,106.5,108.44,105.86,107.39,60578700
2021-08-13,110.55,111.71,106.57,107.17,100135700
2021-08-16,107.48,111.58,105.87,110.2,73325400
2021-08-17,107.56,108.7,105.35,106.64,74053900
2021-08-18,103.44,108.07,103.27,107.35,79387900
2021-08-19,103.7,106.18,101.98,103.32,71117500
2021-08-20,104.65,105.98,103.99,104.32,55227600
2021-08-23,108.77,109.02,104.86,105.3,68835300
2021-08-24,107.65,109.61,107.28,109.45,51239300
2021-08-25,108.3,109.91,107.45,108.13,45485500
2021-08-26,107.27,109.23,106.84,108.57,51442500
2021-08-27,111.4,111.78,107.8,108.01,61030000
2021-08-30,111.32,114.49,111.26,112.61,56130500
2021-08-31,110.72,111.26,109.03,111.26,49339000
2021-09-01,109.99,111.85,109.85,111.3,38579600
2021-09-02,109.2,110.88,108.77,110.32,40090500
2021-09-03,109.92,111.17,108.5,108.85,42605800
2021-09-07,109.15,110.58,108.66,109.96,28815200
2021-09-08,106.17,109.3,105.52,108.88,43067900
2021-09-09,106.15,107.3,105.84,106.56,31857900
2021-09-10,105.2,106.99,104.98,106.99,32602300
2021-09-13,104.8,105.28,102.63,105.26,37767800
2021-09-14,105.73,106.82,104.42,105.52,40629500
2021-09-15,105.6,106.32,104.03,106.0,37998900
2021-09-16,106.22,106.75,103.76,104.92,38150300
2021-09-17,103.88,105.98,103.71,105.56,44528300
2021-09-20,101.55,102.51,99.51,101.58,45228400
2021-09-21,102.82,103.43,101.18,102.15,35481500
2021-09-22,104.38,104.56,102.21,102.82,34126300
2021-09-23,106.15,106.86,103.89,104.89,32816700
2021-09-24,105.8,106.05,104.68,105.19,26482600
2021-09-27,108.16,108.44,103.44,105.07,51944300
2021-09-28,101.52,107.65,101.42,106.84,74469000
2021-09-29,100.35,102.66,99.81,102.3,52224700
2021-09-30,102.9,104.44,101.99,102.08,57636700
2021-10-01,102.45,103.0,100.64,102.6,41491600
2021-10-04,100.34,101.85,99.82,101.74,41967100
2021-10-05,101.81,102.87,100.61,100.92,31455200
2021-10-06,103.64,103.72,100.35,100.45,39071700
2021-10-07,106.45,107.95,104.46,104.6,41543100
2021-10-08,105.06,107.28,104.89,106.55,30623000
2021-10-11,104.68,107.2,104.02,104.62,31284400
2021-10-12,105.04,106.04,104.34,105.17,34039900
2021-10-13,109.16,109.88,106.25,106.28,55631900
2021-10-14,111.99,112.22,109.63,110.5,46900200
2021-10-15,112.12,112.84,111.11,112.51,34203000
2021-10-18,116.43,116.88,111.37,111.9,47537800
2021-10-19,116.33,117.17,114.47,116.16,39593900
2021-10-20,116.39,118.3,115.42,116.29,34244800
2021-10-21,119.33,119.68,116.26,116.5,34794900
2021-10-22,119.82,121.56,118.37,120.83,38992700
2021-10-25,122.36,123.46,118.6,120.52,47834100
2021-10-26,122.93,127.2,122.58,122.99,59458900
2021-10-27,122.28,128.08,121.05,121.63,98245300
2021-10-28,121.16,123.5,120.26,122.86,58002500
