Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,
2021-07-07,184.829,186.71,183.9455,185.869,106562000
2021-07-08,186.5705,187.9995,181.056,182.178,103612000
2021-07-09,185.967,187.4,184.67,186.126,74964000
2021-07-12,185.9275,187.8645,184.8395,187.2,51432000
2021-07-13,183.868,188.654,183.566,185.105,76918000
2021-07-14,184.084,185.883,183.0415,185.4425,65932000
2021-07-15,181.56,184.77,181.046,184.71,63706000
2021-07-16,178.6815,182.303,178.523,181.6655,80874000
2021-07-19,177.4795,177.5105,174.958,176.629,75692000
2021-07-20,178.6595,179.6,175.9,178.366,65114000
2021-07-21,179.26,179.3225,177.182,178.819,46380000
2021-07-22,181.9015,182.001,179.1135,179.3615,65308000
2021-07-23,182.832,183.3055,181.102,182.0,48726000
2021-07-26,184.991,185.604,182.3625,183.6585,58002000
2021-07-27,181.3195,184.925,179.3075,184.925,82638000
2021-07-28,181.516,182.921,180.05,181.689,59988000
2021-07-29,179.996,181.8975,179.0005,181.3875,110400000
2021-07-30,166.3795,168.407,165.349,167.3975,199312000
2021-08-02,166.574,167.946,165.85,167.655,67078000
2021-08-03,168.312,169.55,164.9885,167.036,83146000
2021-08-04,167.736,169.444,167.278,168.9675,43678000
2021-08-05,168.7995,169.45,167.046,167.811,48670000
2021-08-06,167.247,168.75,166.452,168.75,52752000
2021-08-09,167.0935,167.744,166.426,167.1805,42964000
2021-08-10,166.034,167.9,165.75,167.2505,48252000
2021-08-11,164.6055,166.885,163.8895,166.5725,58944000
2021-08-12,165.175,165.7255,163.4835,164.5,46282000
2021-08-13,164.6985,165.3035,164.15,165.2835,41134000
2021-08-16,164.9495,165.0,160.5565,164.15,66394000
2021-08-17,162.098,164.0245,161.284,163.875,67758000
2021-08-18,160.061,162.705,160.0,162.0995,56086000
2021-08-19,159.3875,161.65,159.123,159.701,75658000
2021-08-20,159.9975,160.3905,158.788,160.1935,67168000
2021-08-23,163.2935,164.045,160.5005,160.595,65362000
2021-08-24,165.289,165.7745,163.729,164.0,51036000
2021-08-25,164.959,166.05,164.3075,165.4935,33606000
2021-08-26,165.8,166.6,164.8,164.95,41976000
2021-08-27,167.4815,167.616,165.6875,166.6615,48048000
2021-08-30,171.0785,172.25,167.761,167.8715,63844000
2021-08-31,173.5395,173.629,169.7795,171.24,87128000
2021-09-01,173.95,176.35,173.762,174.82,72598000
