Price,Close,High,Low,Open,Volume
Ticker,SOXS,SOXS,SOXS,SOXS,SOXS
Date,,,,,
2021-05-12,20856.7578125,20978.320930474605,19345.90191767277,19606.39431333264,9027
2021-05-13,19832.15234375,20596.26329219571,18963.844447788968,19710.589238315457,6860
2021-05-14,18095.5390625,19658.493492082533,17539.821931981765,19033.31172024952,5349
2021-05-17,18512.326171875,19467.46495184979,18512.326171875,18633.889289326336,5134
2021-05-18,19033.3125,19050.678661040147,17939.244354470804,18147.638286952555,2999
2021-05-19,17869.77734375,20301.039567389456,17817.678867529154,20127.37797998664,7000
2021-05-20,16445.75390625,17539.822011945616,16254.726141763464,17487.723530722018,4940
2021-05-21,16654.1484375,16827.81004790146,16115.797445255475,16133.163606295622,5300
2021-05-24,15525.345703125,16306.822835832634,15212.754850041945,16254.72436031879,4286
2021-05-25,15386.4189453125,15612.17904270422,14986.997234542538,15160.658847920782,5940
2021-05-26,15230.123046875,15646.910906766676,15021.729116929162,15264.85536853264,3434
2021-05-27,14952.2626953125,15403.782823161657,14795.967266441638,15299.585870581082,3533
2021-05-28,14604.9423828125,14934.899463993757,14396.548436803285,14848.068653156584,3062
2021-06-01,14778.603515625,14969.631293147768,13927.661597569037,14327.08331420755,4820
2021-06-02,14431.2802734375,14900.166636112364,14274.984819212545,14709.138858726308,3641
2021-06-03,15178.0244140625,15403.784502601187,14743.870397641947,14934.89816486699,5881
2021-06-04,14118.689453125,14778.603597305504,13997.126321302276,14743.871273927583,5741
2021-06-07,14396.544921875,14657.037290787093,14205.517184672799,14274.98181638269,4065
2021-06-08,14657.0400390625,14986.997101553243,13997.125914081013,14049.224397632182,3734
2021-06-09,14848.0673828125,14882.799704175804,14396.547205089548,14448.645687134504,2300
2021-06-10,14327.08203125,14917.53147253788,14170.78659090909,14795.968352272728,4592
2021-06-11,14170.7861328125,14483.377003389247,14136.05381385953,14257.61693019493,2255
2021-06-14,13562.97265625,14309.717629641484,13545.606494078103,14083.95752140685,4171
2021-06-15,13927.66015625,14014.490955229114,13406.675362375312,13684.533919108479,3602
2021-06-16,14205.51953125,14587.57506876528,13615.070064180929,13736.633189753973,4644
2021-06-17,13823.4638671875,14413.913328851288,13493.506815081266,14413.913328851288,4599
2021-06-18,14795.966796875,15021.72685363483,14049.221993746332,14136.052784807804,5021
2021-06-21,14500.7451171875,15108.560780782185,14483.378955370508,14691.7728971744,4685
2021-06-22,14309.716796875,14778.603148228915,14240.252152229976,14587.575375455097,3281
2021-06-23,14188.1533203125,14327.082606190712,13927.66090929085,14327.082606190712,2055
2021-06-24,13441.408203125,13823.463733446382,13354.577400779232,13806.097572977229,4070
2021-06-25,13562.97265625,13649.803467109474,13215.6494128121,13406.677196702944,2619
2021-06-28,12555.7333984375,13285.112102081172,12399.437961942427,13285.112102081172,5200
2021-06-29,12243.1435546875,12764.128386801862,12243.1435546875,12625.199098238032,3963
2021-06-30,12277.875,12521.001237623763,12225.776520509195,12312.607319660538,3286
2021-07-01,12833.5927734375,12937.78973776852,12329.974112504227,12416.804916113413,3550
2021-07-02,12590.4658203125,12903.056695851294,12468.902702047413,12503.635021551725,2413
2021-07-06,12677.296875,13163.549357876711,12347.339833047945,12468.902953767123,4172
2021-07-07,13198.28125,13371.942845394737,12399.43791118421,12434.170230263158,3533
2021-07-08,13667.16796875,14309.715891041931,13476.140208068615,14083.955810236657,4866
2021-07-09,12972.521484375,13840.829481990462,12920.423004518072,13545.604762801206,3030
2021-07-12,12503.6357421875,12972.52208251953,12486.26958143446,12850.958957248264,2506
2021-07-13,12712.0302734375,12850.959566043373,12486.270172952954,12642.565627134563,3298
2021-07-14,12850.9599609375,12920.424609375,12052.11650390625,12434.172070312501,5775
2021-07-15,13667.16796875,13945.026529741106,12920.423086086405,12937.789246148348,5313
2021-07-16,14604.9423828125,14639.67470714737,13302.480220254905,13441.409517594382,5908
2021-07-19,14587.5751953125,15403.784759812128,14500.744390578497,15230.123150344121,7851
2021-07-20,13962.3935546875,14934.898578397077,13667.168815347091,14448.646066542287,5489
2021-07-21,12677.296875,13858.1957619863,12677.296875,13823.463441780821,5245
2021-07-22,13041.9873046875,13267.74740450233,12746.7625587758,12955.156497066411,3336
2021-07-23,12746.76171875,13267.746530143051,12712.029397990462,12781.494039509536,2750
2021-07-26,12798.8603515625,13041.98659976043,12659.931066877969,12955.155796832598,2437
2021-07-27,13493.5068359375,14257.617905154038,12937.789694689109,12937.789694689109,6083
