Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2021-07-07,214.8833,221.9,212.7733,221.4233,56376000
2021-07-08,217.6033,218.1433,206.82,209.4567,68319900
2021-07-09,218.9833,219.6367,214.8967,217.7267,54421500
2021-07-12,228.5667,229.08,220.72,220.7333,77781000
2021-07-13,222.8467,231.0933,222.1,228.7733,62898300
2021-07-14,217.7933,226.2033,217.6133,223.5833,64923600
2021-07-15,216.8667,222.0467,212.6267,219.4633,60628800
2021-07-16,214.74,218.9,214.0667,218.2267,49113000
2021-07-19,215.4067,215.7333,207.0967,209.9633,63891300
2021-07-20,220.1667,220.7967,213.5,217.33,46461300
2021-07-21,218.43,221.62,216.7633,219.87,41859900
2021-07-22,216.42,220.7233,214.8667,218.8133,45317100
2021-07-23,214.46,216.2667,212.4333,215.4533,43814700
2021-07-26,219.2067,222.7333,215.7033,216.99,76009800
2021-07-27,214.9267,222.1667,209.08,221.1333,98439900
2021-07-28,215.66,218.3233,213.1333,215.6667,48019800
2021-07-29,225.7833,227.8967,216.2667,216.5967,91183800
2021-07-30,229.0667,232.51,223.0,223.92,88969200
2021-08-02,236.5567,242.3133,232.8,233.3333,100847400
2021-08-03,236.58,240.8833,233.67,239.6667,64860900
2021-08-04,236.9733,241.6333,236.31,237.0,51007800
2021-08-05,238.21,240.3167,237.1367,238.6667,38758800
2021-08-06,233.0333,238.7767,232.5433,237.3,46869000
2021-08-09,237.92,239.6767,235.0433,236.7233,44145900
2021-08-10,236.6633,238.8633,233.96,237.9967,40296900
2021-08-11,235.94,238.3933,234.7367,237.57,29401800
2021-08-12,240.75,240.9333,233.1333,235.4467,52377300
2021-08-13,239.0567,243.3,238.1133,241.2367,50194500
2021-08-16,228.7233,236.5,225.4667,235.0233,68032200
2021-08-17,221.9033,224.86,216.28,224.22,71163900
2021-08-18,229.6633,231.9233,223.1167,223.25,61048200
2021-08-19,224.49,228.85,222.53,226.07,42940500
2021-08-20,226.7533,230.71,224.5667,227.6167,44525700
2021-08-23,235.4333,237.3767,226.9167,228.48,60794700
2021-08-24,236.1633,238.4067,234.2133,236.8933,39249300
2021-08-25,237.0667,238.99,234.6667,235.6767,37936800
2021-08-26,233.72,238.4667,232.54,236.1033,39642900
2021-08-27,237.3067,238.3333,234.0333,235.0,41501400
2021-08-30,243.6367,243.6667,237.5767,238.24,55812600
2021-08-31,245.24,246.7967,242.1467,244.3333,62566200
2021-09-01,244.6967,247.33,243.7567,244.6933,39612900
2021-09-02,244.13,246.99,243.5133,244.8333,38331900
2021-09-03,244.5233,244.6667,241.4,244.0833,45738300
2021-09-07,250.9733,253.4,246.42,246.6667,60119400
2021-09-08,251.29,254.8167,246.9233,253.86,56379000
2021-09-09,251.62,254.0333,250.5433,251.1367,42233100
2021-09-10,245.4233,254.2033,244.84,253.2,45552600
2021-09-13,247.6667,248.26,236.2833,246.7367,68857500
2021-09-14,248.1633,251.49,245.4667,247.5233,55574700
2021-09-15,251.9433,252.2867,246.12,248.3333,46073100
2021-09-16,252.33,252.97,249.2033,250.9433,41770200
2021-09-17,253.1633,253.68,250.0,252.3833,84612600
2021-09-20,243.39,247.3333,239.54,244.8533,74273100
2021-09-21,246.46,248.2467,243.48,244.93,48992100
2021-09-22,250.6467,251.2233,246.3733,247.8433,45378900
2021-09-23,251.2133,252.7333,249.3067,251.6667,35842500
2021-09-24,258.13,258.2667,248.1867,248.63,64119000
2021-09-27,263.7867,266.3333,256.4367,257.7067,84212100
2021-09-28,259.1867,265.2133,255.3933,262.4,76144200
2021-09-29,260.4367,264.5,256.8933,259.9333,62828700
2021-09-30,258.4933,263.0433,258.3333,260.3333,53868000
2021-10-01,258.4067,260.26,254.53,259.4667,51094200
2021-10-04,260.51,268.99,258.7067,265.5,91449900
2021-10-05,260.1967,265.77,258.0667,261.6,55297800
2021-10-06,260.9167,262.22,257.74,258.7333,43898400
2021-10-07,264.5367,268.3333,261.1267,261.82,57587400
2021-10-08,261.83,265.46,260.3033,265.4033,50215800
2021-10-11,263.98,267.08,261.8333,262.55,42600900
2021-10-12,268.5733,270.7733,265.5233,266.9767,66060000
2021-10-13,270.36,271.8033,268.5933,270.1567,42360300
2021-10-14,272.7733,273.4167,271.1167,271.83,36741600
2021-10-15,281.01,281.07,274.1167,274.58,56773800
2021-10-18,290.0367,291.7533,283.8233,283.93,72621600
2021-10-19,288.09,292.65,287.5033,292.51,52143300
2021-10-20,288.6,289.83,285.7933,288.45,42096300
2021-10-21,298.0,300.0,285.1667,285.3333,94444500
2021-10-22,303.2267,303.3333,296.9867,298.5,68642400
2021-10-25,341.62,348.34,314.7333,316.8433,188556300
2021-10-26,339.4767,364.98,333.8133,341.5633,187245000
2021-10-27,345.9533,356.96,343.5933,346.5533,115579500
2021-10-28,359.0133,360.3333,351.4,356.1033,81639600
2021-10-29,371.3333,371.7367,357.7367,360.62,89755200
2021-11-01,402.8633,403.25,372.8867,381.6667,168146100
2021-11-02,390.6667,402.8633,382.0,386.4533,128213400
2021-11-03,404.62,405.13,384.2067,392.4433,103885500
2021-11-04,409.97,414.4967,405.6667,411.47,76192200
2021-11-05,407.3633,413.29,402.6667,409.3333,64886400
2021-11-08,387.6467,399.0,377.6667,383.2633,100337100
2021-11-09,341.1667,391.5,337.1733,391.2,177317400
2021-11-10,355.9833,359.3667,329.1033,336.8033,128408100
2021-11-11,354.5033,368.3233,351.56,367.59,67189800
2021-11-12,344.4733,351.5,339.7333,349.1667,76719300
2021-11-15,337.7967,343.9933,326.2,339.21,104326800
2021-11-16,351.5767,352.4,334.06,334.4367,79627200
2021-11-17,363.0033,373.2133,351.8333,354.5033,94336200
2021-11-18,365.46,370.6667,358.34,368.85,62696700
2021-11-19,379.02,379.5733,364.2333,366.29,64926900
2021-11-22,385.6233,400.65,377.4767,387.4433,99217500
2021-11-23,369.6767,393.5,354.2333,389.17,108515100
2021-11-24,372.0,377.59,354.0,360.13,67680600
2021-11-26,360.64,369.5933,360.3333,366.49,35042700
2021-11-29,378.9967,380.89,366.73,366.9967,58393500
2021-11-30,381.5867,389.3333,372.6667,381.4567,81276000
2021-12-01,365.0,390.9467,363.5867,386.9,68450400
2021-12-02,361.5333,371.0,352.2167,366.3533,73114800
2021-12-03,338.3233,363.5267,333.4033,361.5967,92322000
2021-12-06,336.3367,340.5467,316.8333,333.8367,81663000
2021-12-07,350.5833,352.5567,342.27,348.0667,56084700
2021-12-08,356.32,357.46,344.3333,350.9033,41906400
2021-12-09,334.6,354.1633,334.12,353.5467,59438400
2021-12-10,339.01,340.3267,327.51,336.25,59664300
2021-12-13,322.1367,335.0,317.14,333.6967,78595500
2021-12-14,319.5033,322.1367,310.0,315.0,70806300
2021-12-15,325.33,326.25,309.4167,317.7367,75169200
2021-12-16,308.9733,331.66,307.2833,331.5,82771500
2021-12-17,310.8567,320.22,303.0133,304.9233,100437300
2021-12-20,299.98,307.23,297.7967,303.5667,56480100
2021-12-21,312.8433,313.1667,295.3733,305.6233,71517900
2021-12-22,336.29,338.5533,319.0167,321.8867,93634200
2021-12-23,355.6667,357.66,332.52,335.6,92713200
2021-12-27,364.6467,372.3333,356.9067,357.89,71145900
2021-12-28,362.8233,373.0,359.4733,369.83,60324000
2021-12-29,362.0633,368.0,354.7133,366.2133,56154000
2021-12-30,356.78,365.1833,351.05,353.7767,47040900
2021-12-31,352.26,360.6667,351.53,357.8133,40733700
2022-01-03,399.9267,400.3567,378.68,382.5833,103931400
2022-01-04,383.1967,402.6667,374.35,396.5167,100248300
2022-01-05,362.7067,390.1133,360.3367,382.2167,80119800
2022-01-06,354.9,362.6667,340.1667,359.0,90336600
2022-01-07,342.32,360.31,336.6667,360.1233,84164700
2022-01-10,352.7067,353.0333,326.6667,333.3333,91815000
2022-01-11,354.8,358.6167,346.2733,351.2233,66063300
2022-01-12,368.74,371.6133,357.53,359.6167,83739000
2022-01-13,343.8533,371.8667,342.18,369.69,97209900
2022-01-14,349.87,350.6667,337.7933,339.96,72924300
2022-01-18,343.5033,356.93,338.6867,342.2033,66743400
2022-01-19,331.8833,351.5567,331.6667,347.2367,75442500
2022-01-20,332.09,347.22,331.3333,336.5767,70488600
2022-01-21,314.6333,334.85,313.5,332.1133,103416000
2022-01-24,310.0,311.17,283.8233,301.5867,151565700
2022-01-25,306.1333,317.0867,301.07,304.7333,86595900
2022-01-26,312.47,329.23,302.0,317.4767,104867400
2022-01-27,276.3667,311.7967,276.3333,311.12,147109500
2022-01-28,282.1167,285.8333,264.0033,277.1867,134789100
2022-01-31,312.24,312.6633,287.35,290.9033,104436000
2022-02-01,310.4167,314.5667,301.6667,311.7367,73138200
2022-02-02,301.8867,310.5,296.47,309.3933,66792900
2022-02-03,297.0467,312.3333,293.5067,294.0,78855600
2022-02-04,307.7733,312.1667,293.7233,299.0733,73625400
2022-02-07,302.4467,315.9233,300.9033,307.93,60994500
2022-02-08,307.3333,308.7633,298.2667,301.8433,50729100
2022-02-09,310.6667,315.4233,306.6667,311.6667,52259400
2022-02-10,301.5167,314.6033,298.9,302.79,66126900
2022-02-11,286.6667,305.32,283.5667,303.21,79645800
2022-02-14,291.92,299.6267,284.3833,287.19,67756500
2022-02-15,307.4767,307.6667,297.7933,300.0,57286200
2022-02-16,307.7967,308.81,300.4033,304.6833,51294300
2022-02-17,292.1167,306.1667,291.3667,304.42,55178400
2022-02-18,285.66,295.6233,279.2033,295.3333,68501700
2022-02-22,273.8433,285.5767,267.0333,278.0433,83288100
2022-02-23,254.68,278.4333,253.52,276.81,95256900
2022-02-24,266.9233,267.4933,233.3333,233.4633,135322200
2022-02-25,269.9567,273.1667,260.8,269.7433,76067700
2022-02-28,290.1433,292.2867,271.57,271.67,99006900
2022-03-01,288.1233,296.6267,284.5933,289.8933,74766900
2022-03-02,293.2967,295.4933,281.4233,290.71,74643300
2022-03-03,279.7633,295.48,277.5333,292.9233,61623600
2022-03-04,279.43,285.2167,275.0533,283.0333,66999600
2022-03-07,268.1933,288.7133,268.19,285.4333,72494100
2022-03-08,274.8,283.33,260.7233,265.1767,80399100
2022-03-09,286.3233,286.8533,277.3367,279.8267,59184000
2022-03-10,279.4333,284.8167,270.12,283.8167,58648500
2022-03-11,265.1167,281.2667,264.59,280.0667,67037100
2022-03-14,255.4567,266.9,252.0133,260.2033,71152200
2022-03-15,267.2967,268.5233,252.19,258.4233,66841200
2022-03-16,280.0767,280.6667,267.42,269.6667,84028800
2022-03-17,290.5333,291.6667,275.24,276.9967,66582900
2022-03-18,301.7967,302.6167,289.13,291.4967,100414200
2022-03-21,307.0533,314.2833,302.3633,304.9933,81981600
2022-03-22,331.3267,332.62,307.25,310.0,105868500
2022-03-23,333.0367,346.9,325.4667,326.6467,120676200
2022-03-24,337.9733,341.4967,329.6,336.5767,68920800
2022-03-25,336.88,340.6,332.44,336.0,62031600
2022-03-28,363.9467,365.96,351.2,355.0333,102506100
2022-03-29,366.5233,371.59,357.7033,369.33,73614900
2022-03-30,364.6633,371.3167,361.3333,363.7233,59865000
2022-03-31,359.2,367.7133,358.88,364.8567,48992700
2022-04-01,361.53,364.9167,355.5467,360.3833,54263100
2022-04-04,381.8167,383.3033,357.51,363.1267,82035900
2022-04-05,363.7533,384.29,362.4333,378.7667,80075100
2022-04-06,348.5867,359.6667,342.5667,357.8233,89348400
2022-04-07,352.42,358.8633,340.5133,350.7967,79447200
2022-04-08,341.83,349.48,340.8133,347.7367,55013700
2022-04-11,325.31,336.1567,324.88,326.8,59357100
2022-04-12,328.9833,340.3967,325.5333,332.5467,65976000
2022-04-13,340.79,342.08,324.3667,327.0267,55121100
2022-04-14,328.3333,337.57,327.3967,333.0967,58422300
2022-04-18,334.7633,338.3067,324.47,329.6767,51715200
2022-04-19,342.7167,344.98,331.7767,335.02,49847700
2022-04-20,325.7333,344.6667,325.0833,343.3333,70711200
2022-04-21,336.26,364.0733,332.14,358.2433,105416400
2022-04-22,335.0167,344.95,331.3333,338.3033,69696600
2022-04-25,332.6733,336.2067,325.1,326.3233,68341200
2022-04-26,292.14,333.3333,291.6667,331.81,136133700
2022-04-27,293.8367,306.0,292.4533,299.5267,76956300
2022-04-28,292.5033,300.0,273.9,299.9933,124948500
2022-04-29,290.2533,311.4667,290.0,300.75,88133100
2022-05-02,300.98,302.12,282.6767,286.9233,75781500
2022-05-03,303.0833,308.0267,296.1967,301.06,63709500
2022-05-04,317.54,318.5,295.0933,301.3133,81643800
2022-05-05,291.0933,315.2,285.9,313.0067,92519100
2022-05-06,288.55,296.0,281.0367,295.6667,72903000
2022-05-09,262.37,281.8767,260.3833,278.8167,90810300
2022-05-10,266.68,275.12,258.0833,273.1033,84401700
2022-05-11,244.6667,269.9233,242.4,265.0,97224600
2022-05-12,242.6667,253.22,226.6667,233.6667,140313000
2022-05-13,256.53,262.45,250.5233,257.8267,92150700
2022-05-16,241.4567,256.5867,239.6967,255.72,86098500
2022-05-17,253.87,254.8267,242.95,249.12,80236200
2022-05-18,236.6033,253.5,233.6033,248.1733,87811800
2022-05-19,236.4733,244.6667,231.37,235.6667,90296700
2022-05-20,221.3,240.5267,211.0,237.9967,144973200
2022-05-23,224.9667,226.6533,212.6867,218.34,88903500
2022-05-24,209.3867,217.9733,206.8567,217.8433,89092500
2022-05-25,219.6,223.1067,207.67,207.95,92139300
2022-05-26,235.91,239.5567,217.8867,220.4733,106003200
2022-05-27,253.21,253.2667,240.1767,241.0833,89295000
2022-05-31,252.7533,259.6,244.7433,257.9467,101914500
2022-06-01,246.79,257.3267,243.64,251.72,77247900
2022-06-02,258.3333,264.21,242.0667,244.1567,93473100
2022-06-03,234.5167,247.7967,233.4167,243.2267,112393800
2022-06-06,238.28,244.8667,234.35,244.3533,84204600
2022-06-07,238.8867,239.9967,230.0933,234.0,72808500
2022-06-08,241.8667,249.9633,239.1767,240.0867,76210500
2022-06-09,239.7067,255.5467,239.3267,249.34,96491400
2022-06-10,232.23,239.5,227.9133,235.1567,97536600
2022-06-13,215.7367,226.6333,214.6833,223.1667,102767400
2022-06-14,220.89,226.33,211.7367,218.2867,97988700
2022-06-15,233.0,235.6633,218.15,220.9167,119131800
2022-06-16,213.1,225.1667,208.6933,222.7367,107390700
2022-06-17,216.76,220.97,213.1967,213.4333,92641800
2022-06-21,237.0367,243.5767,224.3333,224.6033,122793000
2022-06-22,236.0867,246.8333,233.8267,234.5033,101107500
